package_name,aaid,aid,geo,router_ssid,wifi_mac,router_mac,imei,hwid,phone,email,real_name,package_dump,simid,gsfid
com.gm.despegar,1,1,1,0,0,0,0,0,0,0,0,0,0,0
com.gmail.bulupe.Scale,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gogii.textplus,1,1,1,1,0,0,0,0,0,0,0,0,0,0
com.goibibo,1,1,0,1,1,0,1,1,0,1,0,0,0,0
com.goodreads,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.google.android.apps.docs,1,0,0,0,0,0,0,0,0,1,1,0,0,0
com.google.android.apps.docs.editors.docs,0,0,0,0,0,0,0,0,0,1,1,0,0,0
com.google.android.apps.docs.editors.sheets,0,0,0,0,0,0,0,0,0,1,1,0,0,0
com.google.android.apps.docs.editors.slides,0,0,0,0,0,0,0,0,0,1,1,0,0,0
com.google.android.apps.magazines,0,1,0,0,0,0,0,0,0,0,0,0,0,1
com.google.android.apps.maps,0,0,0,0,0,0,0,0,0,1,0,0,0,0
com.google.android.apps.primer,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.google.android.apps.translate,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.google.android.apps.walletnfcrel,0,1,0,0,0,0,1,1,1,1,0,0,0,0
com.google.android.apps.youtube.music,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.google.android.music,1,0,0,0,0,0,0,0,0,1,1,0,0,1
com.google.android.play.games,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.google.android.videos,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.android.youtube,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gopro.smarty,1,1,0,0,0,0,0,1,0,0,0,0,0,0
com.gotv.crackle.handset,1,0,0,1,0,0,0,0,0,0,0,0,0,0
com.gotv.nflgamecenter.us.lite,1,1,1,1,0,1,0,0,1,0,0,0,0,0
com.gramgames.tenten,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.greenleaf.android.translator.enes.a,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.greenteagames.dogracing3d,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.grillgames.guitarrockhero,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.groupme.android,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gs.escape.mission,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gsn.android.tripeaks,1,1,0,1,0,1,0,1,0,0,0,0,0,0
com.gta.real.gangster.crime,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gtarcade.lod,1,1,0,0,1,0,1,0,0,0,0,0,0,0
com.gto.zero.zboost,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.h8games.helixjump,1,1,0,1,0,0,0,0,0,0,0,0,0,0
com.halfbrick.dantheman,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.halfbrick.fruitninjafree,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.halfbrick.jetpackjoyride,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.handmark.expressweather,1,1,1,1,0,1,0,0,0,0,0,0,0,0
com.handmark.tweetcaster,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.handyapps.photoLocker,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.hapogames.BubbleParadise,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.hasbro.beybladesenterprise,1,1,0,0,0,0,0,1,0,0,0,0,0,0
com.hbo.hbonow,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.hbwares.wordfeud.free,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.hcg.cok.gp,1,1,0,0,0,0,1,1,0,1,0,0,0,0
com.hcom.android,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.headupgames.bridgeconstructorfreeversion,1,1,0,0,1,0,0,0,0,1,0,1,0,0
com.herocraft.game.farmfrenzy.freemium,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.hgamesart.catsimulator,1,1,0,0,1,0,0,0,0,1,0,1,0,0
com.hgamesart.ropeboy,1,1,0,1,1,0,0,0,0,1,0,1,0,0
com.hitwe.android,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.hm.goe,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.hmallapp,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.hmobile.biblekjv,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.hmravens.simplywalking,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.hmusic.listentrot,0,0,0,0,1,0,0,0,0,0,0,0,0,0
com.hmusic.memory7080,0,0,0,0,1,0,0,0,0,0,0,0,0,0
com.hnsmall,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.hotheadgames.google.free.ks2,1,1,0,1,0,1,0,1,0,1,0,0,0,0
com.hotheadgames.google.free.rawsniper,1,1,0,1,0,1,0,0,0,1,0,0,0,0
com.hotornot.app,1,0,0,1,0,1,0,0,1,0,0,0,0,0
com.houzz.app,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.hp.pregnancy.lite,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.hp.printercontrol,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.hts.ams,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.hutchgames.hillclimb,1,1,0,1,0,0,0,0,0,0,0,0,0,0
com.huuuge.casino.slots,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.hyperkani.bomberfriends,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.hyperspeed.rocketclean,1,1,1,0,0,0,0,0,0,0,0,0,0,0
com.icenta.sudoku.ui,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.icloudzone.SpeedNight2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.icq.mobile.client,1,1,0,1,1,1,0,0,0,0,0,0,0,0
com.ideacellular.myidea,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.ideashower.readitlater.pro,1,1,0,0,0,0,0,1,0,0,0,0,0,0
com.idleif.abyssrium,1,1,0,0,0,0,0,0,0,0,0,0,0,0
